ID, Path, Set, ClassID, ClassName
40001,Trn_5,train,3,cat
40002,Trn_5,train,0,plane
40003,Trn_5,train,9,truck
40004,Trn_5,train,7,horse
40005,Trn_5,train,8,ship
40006,Trn_5,train,2,bird
40007,Trn_5,train,3,cat
40008,Trn_5,train,6,frog
40009,Trn_5,train,3,cat
40010,Trn_5,train,4,deer
40011,Trn_5,train,6,frog
40012,Trn_5,train,0,plane
40013,Trn_5,train,2,bird
40014,Trn_5,train,7,horse
40015,Trn_5,train,4,deer
40016,Trn_5,train,5,dog
40017,Trn_5,train,4,deer
40018,Trn_5,train,7,horse
40019,Trn_5,train,7,horse
40020,Trn_5,train,8,ship
40021,Trn_5,train,5,dog
40022,Trn_5,train,7,horse
40023,Trn_5,train,8,ship
40024,Trn_5,train,1,car
40025,Trn_5,train,5,dog
40026,Trn_5,train,3,cat
40027,Trn_5,train,6,frog
40028,Trn_5,train,2,bird
40029,Trn_5,train,8,ship
40030,Trn_5,train,1,car
40031,Trn_5,train,1,car
40032,Trn_5,train,0,plane
40033,Trn_5,train,5,dog
40034,Trn_5,train,3,cat
40035,Trn_5,train,4,deer
40036,Trn_5,train,4,deer
40037,Trn_5,train,9,truck
40038,Trn_5,train,1,car
40039,Trn_5,train,5,dog
40040,Trn_5,train,9,truck
40041,Trn_5,train,8,ship
40042,Trn_5,train,3,cat
40043,Trn_5,train,9,truck
40044,Trn_5,train,0,plane
40045,Trn_5,train,2,bird
40046,Trn_5,train,3,cat
40047,Trn_5,train,7,horse
40048,Trn_5,train,4,deer
40049,Trn_5,train,7,horse
40050,Trn_5,train,2,bird
40051,Trn_5,train,3,cat
40052,Trn_5,train,8,ship
40053,Trn_5,train,5,dog
40054,Trn_5,train,6,frog
40055,Trn_5,train,3,cat
40056,Trn_5,train,6,frog
40057,Trn_5,train,6,frog
40058,Trn_5,train,6,frog
40059,Trn_5,train,6,frog
40060,Trn_5,train,9,truck
40061,Trn_5,train,7,horse
40062,Trn_5,train,8,ship
40063,Trn_5,train,7,horse
40064,Trn_5,train,9,truck
40065,Trn_5,train,4,deer
40066,Trn_5,train,6,frog
40067,Trn_5,train,2,bird
40068,Trn_5,train,3,cat
40069,Trn_5,train,5,dog
40070,Trn_5,train,1,car
40071,Trn_5,train,3,cat
40072,Trn_5,train,5,dog
40073,Trn_5,train,5,dog
40074,Trn_5,train,0,plane
40075,Trn_5,train,0,plane
40076,Trn_5,train,5,dog
40077,Trn_5,train,2,bird
40078,Trn_5,train,3,cat
40079,Trn_5,train,0,plane
40080,Trn_5,train,4,deer
40081,Trn_5,train,8,ship
40082,Trn_5,train,2,bird
40083,Trn_5,train,8,ship
40084,Trn_5,train,7,horse
40085,Trn_5,train,3,cat
40086,Trn_5,train,8,ship
40087,Trn_5,train,2,bird
40088,Trn_5,train,8,ship
40089,Trn_5,train,3,cat
40090,Trn_5,train,3,cat
40091,Trn_5,train,0,plane
40092,Trn_5,train,3,cat
40093,Trn_5,train,2,bird
40094,Trn_5,train,1,car
40095,Trn_5,train,1,car
40096,Trn_5,train,0,plane
40097,Trn_5,train,9,truck
40098,Trn_5,train,3,cat
40099,Trn_5,train,4,deer
40100,Trn_5,train,0,plane
40101,Trn_5,train,5,dog
40102,Trn_5,train,8,ship
40103,Trn_5,train,1,car
40104,Trn_5,train,5,dog
40105,Trn_5,train,0,plane
40106,Trn_5,train,7,horse
40107,Trn_5,train,7,horse
40108,Trn_5,train,2,bird
40109,Trn_5,train,6,frog
40110,Trn_5,train,0,plane
40111,Trn_5,train,2,bird
40112,Trn_5,train,1,car
40113,Trn_5,train,4,deer
40114,Trn_5,train,6,frog
40115,Trn_5,train,4,deer
40116,Trn_5,train,9,truck
