ID, Path, Set, ClassID, ClassName
1,Trn_1,train,7,horse
2,Trn_1,train,8,ship
3,Trn_1,train,0,plane
4,Trn_1,train,6,frog
5,Trn_1,train,1,car
6,Trn_1,train,6,frog
7,Trn_1,train,8,ship
8,Trn_1,train,0,plane
9,Trn_1,train,6,frog
10,Trn_1,train,5,dog
11,Trn_1,train,2,bird
12,Trn_1,train,5,dog
13,Trn_1,train,0,plane
14,Trn_1,train,7,horse
15,Trn_1,train,1,car
16,Trn_1,train,6,frog
17,Trn_1,train,5,dog
18,Trn_1,train,6,frog
19,Trn_1,train,6,frog
20,Trn_1,train,5,dog
21,Trn_1,train,0,plane
22,Trn_1,train,5,dog
23,Trn_1,train,7,horse
24,Trn_1,train,2,bird
25,Trn_1,train,4,deer
26,Trn_1,train,4,deer
27,Trn_1,train,5,dog
28,Trn_1,train,5,dog
29,Trn_1,train,4,deer
30,Trn_1,train,8,ship
31,Trn_1,train,4,deer
32,Trn_1,train,3,cat
33,Trn_1,train,5,dog
34,Trn_1,train,0,plane
35,Trn_1,train,0,plane
36,Trn_1,train,8,ship
37,Trn_1,train,0,plane
38,Trn_1,train,1,car
39,Trn_1,train,8,ship
40,Trn_1,train,0,plane
41,Trn_1,train,3,cat
42,Trn_1,train,0,plane
43,Trn_1,train,0,plane
44,Trn_1,train,0,plane
45,Trn_1,train,9,truck
46,Trn_1,train,4,deer
47,Trn_1,train,4,deer
48,Trn_1,train,6,frog
49,Trn_1,train,7,horse
50,Trn_1,train,6,frog
51,Trn_1,train,9,truck
52,Trn_1,train,0,plane
53,Trn_1,train,9,truck
54,Trn_1,train,9,truck
55,Trn_1,train,4,deer
56,Trn_1,train,3,cat
57,Trn_1,train,6,frog
58,Trn_1,train,2,bird
59,Trn_1,train,9,truck
60,Trn_1,train,9,truck
61,Trn_1,train,8,ship
62,Trn_1,train,4,deer
63,Trn_1,train,4,deer
64,Trn_1,train,8,ship
65,Trn_1,train,1,car
66,Trn_1,train,1,car
67,Trn_1,train,3,cat
